postcode;city;street;housenumber;lon;lat
55257;Budenheim;Binger Str.;68;;
79415;Bad Bellingen;Am Sonnenrain;9;;
4132;Muttenz;Gründenstrasse;1;7.64692163;47.53259659
4132;Muttenz;Gründenstrasse;2;;
4132;Muttenz;Gründenstrasse;3;7.64684629;47.53242493
4132;Muttenz;Gründenstrasse;4;;
4132;Muttenz;Gründenstrasse;40;7.63863897;47.53382492
